Instance;Cout_Avant;Cout_Apres;Amelioration(%)
a280.tsp;2737;2930;-7.05
berlin52.tsp;8108;7977;1.62
bier127.tsp;121246;124531;-2.71
ch150.tsp;6873;7328;-6.62
eil51.tsp;436;438;-0.46
eil76.tsp;562;558;0.71
kroA100.tsp;22902;22447;1.99
kroB100.tsp;22702;23236;-2.35
pr124.tsp;61179;59897;2.1
st70.tsp;682;703;-3.08
